model,model_source,id,text,expected_emotion,predicted_emotion,raw_label,emotion_score,emotion_match,baseline_response,emotion_aware_response
local,saved_emotion_model,sad_1,I feel really down today and I do not know how to get motivated.,sadness,sadness,sadness,0.3525,True,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
local,saved_emotion_model,joy_1,I just found out I got the internship I wanted.,joy,joy,joy,0.6342,True,Hello. What would you like to talk about today?,That sounds really positive. What made you feel that way?
local,saved_emotion_model,anger_1,I am upset because my teammate ignored all my messages.,anger,sadness,sadness,0.4054,False,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
hartmann,j-hartmann/emotion-english-distilroberta-base,sad_1,I feel really down today and I do not know how to get motivated.,sadness,sadness,sadness,0.9797,True,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
hartmann,j-hartmann/emotion-english-distilroberta-base,joy_1,I just found out I got the internship I wanted.,joy,joy,joy,0.6537,True,Hello. What would you like to talk about today?,That sounds really positive. What made you feel that way?
hartmann,j-hartmann/emotion-english-distilroberta-base,anger_1,I am upset because my teammate ignored all my messages.,anger,anger,anger,0.9675,True,I understand. Tell me more about that.,I can tell this is frustrating. Do you want to talk through what happened?
bhadresh,bhadresh-savani/distilbert-base-uncased-emotion,sad_1,I feel really down today and I do not know how to get motivated.,sadness,joy,joy,0.9881,False,I understand. Tell me more about that.,That sounds really positive. What made you feel that way?
bhadresh,bhadresh-savani/distilbert-base-uncased-emotion,joy_1,I just found out I got the internship I wanted.,joy,anger,anger,0.5906,False,Hello. What would you like to talk about today?,I can tell this is frustrating. Do you want to talk through what happened?
bhadresh,bhadresh-savani/distilbert-base-uncased-emotion,anger_1,I am upset because my teammate ignored all my messages.,anger,sadness,sadness,0.8507,False,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
go_emotions,SamLowe/roberta-base-go_emotions,sad_1,I feel really down today and I do not know how to get motivated.,sadness,sadness,disappointment,0.6559,True,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
go_emotions,SamLowe/roberta-base-go_emotions,joy_1,I just found out I got the internship I wanted.,joy,joy,excitement,0.4297,True,Hello. What would you like to talk about today?,That sounds really positive. What made you feel that way?
go_emotions,SamLowe/roberta-base-go_emotions,anger_1,I am upset because my teammate ignored all my messages.,anger,sadness,disappointment,0.6165,False,I understand. Tell me more about that.,I'm sorry you're dealing with that. Do you want to share what has been hardest?
